date,change,Date,Neg_Count,Pos_Count,Sent_Count,day,favorites,Count,pos_neg,pos,neg,flat,job_change,growthgap,negcount1day,poscount1day,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day,negcount2day,poscount2day,sentcount2day,favcount2day,econcount2day,job_change2day,growthgap2day,change2day,negcount3day,poscount3day,sentcount3day,favcount3day,econcount3day,job_change3day,growthgap3day,change3day,negcount4day,poscount4day,sentcount4day,favcount4day,econcount4day,job_change4day,growthgap4day,change4day,negcount5day,poscount5day,sentcount5day,favcount5day,econcount5day,job_change5day,growthgap5day,change5day,negcount6day,poscount6day,sentcount6day,favcount6day,econcount6day,job_change6day,growthgap6day,change6day,negcount7day,poscount7day,sentcount7day,favcount7day,econcount7day,job_change7day,growthgap7day,change7day,negcount8day,poscount8day,sentcount8day,favcount8day,econcount8day,job_change8day,growthgap8day,change8day,negcount9day,poscount9day,sentcount9day,favcount9day,econcount9day,job_change9day,growthgap9day,change9day,negcount10day,poscount10day,sentcount10day,favcount10day,econcount10day,job_change10day,growthgap10day,change10day,negcount11day,poscount11day,sentcount11day,favcount11day,econcount11day,job_change11day,growthgap11day,change11day,negcount12day,poscount12day,sentcount12day,favcount12day,econcount12day,job_change12day,growthgap12day,change12day,negcount13day,poscount13day,sentcount13day,favcount13day,econcount13day,job_change13day,growthgap13day,change13day,negcount14day,poscount14day,sentcount14day,favcount14day,econcount14day,job_change14day,growthgap14day,change14day,negcount15day,poscount15day,sentcount15day,favcount15day,econcount15day,job_change15day,growthgap15day,change15day
2016-01-19,-0.01500471576781274,2016-01-19,52,64,12,2016-01-19,213,6,0,0,1,0,273.0,-0.5,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-20,0.007547669491525459,2016-01-20,66,78,12,2016-01-20,989,14,1,1,0,0,273.0,-0.5,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,-0.0016593886462881898,2016-01-21,62,77,15,2016-01-21,359,11,0,0,0,1,273.0,-0.5,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,0.010216838384273848,2016-01-22,65,102,37,2016-01-22,535,14,1,1,0,0,273.0,-0.5,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257,,,,,,,,,,,,,,,,
2016-01-25,-0.015698721798061237,2016-01-25,15,26,11,2016-01-25,563,4,0,0,1,0,273.0,-0.5,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257,,,,,,,,
2016-01-26,0.017918347867586427,2016-01-26,72,72,0,2016-01-26,500,11,1,1,0,0,273.0,-0.5,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595,30.0,28.0,-2.0,224.0,9.0,237.0,-0.5,0.0036011523687580257
2016-01-27,-0.00607694612059737,2016-01-27,36,42,6,2016-01-27,337,8,0,0,1,0,273.0,-0.5,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573,27.0,19.0,-8.0,156.0,4.0,237.0,-0.5,-0.0013135373960115595
2016-01-28,-0.008196021514556423,2016-01-28,33,42,9,2016-01-28,608,3,0,0,1,0,273.0,-0.5,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059,62.0,39.0,-23.0,664.0,9.0,237.0,-0.5,-0.0010499959615539573
2016-01-29,0.027884862503212503,2016-01-29,33,30,-3,2016-01-29,157,3,1,1,0,0,273.0,-0.1,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273,84.0,79.0,-5.0,605.0,8.0,237.0,-0.5,-0.009370376458984059
2016-02-01,0.0066378187623409345,2016-02-01,24,23,-1,2016-02-01,276,6,1,1,0,0,273.0,-0.1,33.0,30.0,-3.0,157.0,3.0,273.0,-0.1,0.027884862503212503,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155,76.0,75.0,-1.0,206.0,3.0,273.0,-0.5,-0.0172727272727273
2016-02-02,-0.012672617042775426,2016-02-02,26,33,7,2016-02-02,264,5,0,0,1,0,273.0,-0.1,24.0,23.0,-1.0,276.0,6.0,273.0,-0.1,0.0066378187623409345,33.0,30.0,-3.0,157.0,3.0,273.0,-0.1,0.027884862503212503,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248,26.0,25.0,-1.0,169.0,2.0,273.0,-0.5,-0.0073267741260205155
2016-02-03,-0.0005079150088885318,2016-02-03,32,46,14,2016-02-03,433,4,0,0,0,1,273.0,-0.1,26.0,33.0,7.0,264.0,5.0,273.0,-0.1,-0.012672617042775426,24.0,23.0,-1.0,276.0,6.0,273.0,-0.1,0.0066378187623409345,33.0,30.0,-3.0,157.0,3.0,273.0,-0.1,0.027884862503212503,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775,43.0,45.0,2.0,661.0,8.0,273.0,-0.5,-0.004307640834762248
2016-02-04,0.01036313442344446,2016-02-04,19,25,6,2016-02-04,177,4,1,1,0,0,273.0,-0.1,32.0,46.0,14.0,433.0,4.0,273.0,-0.1,-0.0005079150088885318,26.0,33.0,7.0,264.0,5.0,273.0,-0.1,-0.012672617042775426,24.0,23.0,-1.0,276.0,6.0,273.0,-0.1,0.0066378187623409345,33.0,30.0,-3.0,157.0,3.0,273.0,-0.1,0.027884862503212503,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741,24.0,32.0,8.0,288.0,4.0,273.0,-0.5,-0.030342806914737775
2016-02-05,-0.017843583902809372,2016-02-05,39,47,8,2016-02-05,501,3,0,0,1,0,108.0,-0.1,19.0,25.0,6.0,177.0,4.0,273.0,-0.1,0.01036313442344446,32.0,46.0,14.0,433.0,4.0,273.0,-0.1,-0.0005079150088885318,26.0,33.0,7.0,264.0,5.0,273.0,-0.1,-0.012672617042775426,24.0,23.0,-1.0,276.0,6.0,273.0,-0.1,0.0066378187623409345,33.0,30.0,-3.0,157.0,3.0,273.0,-0.1,0.027884862503212503,33.0,42.0,9.0,608.0,3.0,273.0,-0.5,-0.008196021514556423,36.0,42.0,6.0,337.0,8.0,273.0,-0.5,-0.00607694612059737,72.0,72.0,0.0,500.0,11.0,273.0,-0.5,0.017918347867586427,15.0,26.0,11.0,563.0,4.0,273.0,-0.5,-0.015698721798061237,65.0,102.0,37.0,535.0,14.0,273.0,-0.5,0.010216838384273848,62.0,77.0,15.0,359.0,11.0,273.0,-0.5,-0.0016593886462881898,66.0,78.0,12.0,989.0,14.0,273.0,-0.5,0.007547669491525459,52.0,64.0,12.0,213.0,6.0,273.0,-0.5,-0.01500471576781274,75.0,52.0,-23.0,710.0,6.0,273.0,-0.5,0.01005552398023876,32.0,40.0,8.0,283.0,6.0,273.0,-0.5,0.007695283951678741
